date,vwretd,vwretx
1925-12-31,,
1926-01-30,0.0005610363,-0.001395089
1926-02-27,-0.03304553,-0.03658723
1926-03-31,-0.06400222,-0.07002128
1926-04-30,0.03702872,0.03404304
1926-05-28,0.01209523,0.008584509
1926-06-30,0.05366369,0.04618894
1926-07-31,0.0314107,0.02922447
1926-08-31,0.02864728,0.02535763
1926-09-30,0.00578737,3.00449e-05
1926-10-30,-0.02899619,-0.03106881
1926-11-30,0.02855394,0.0229787
1926-12-31,0.029211,0.0214219
1927-01-31,0.002416228,5.323665e-05
1927-02-28,0.0453701,0.04117489
1927-03-31,0.003756279,-0.002241672
1927-04-30,0.007225051,0.005134092
1927-05-31,0.05777311,0.05362266
1927-06-30,-0.02108671,-0.02740624
1927-07-30,0.07527909,0.07286946
1927-08-31,0.02249037,0.01843828
1927-09-30,0.04992352,0.04500271
1927-10-31,-0.0407699,-0.0425937
1927-11-30,0.06845258,0.06329948
1927-12-31,0.02378212,0.01820621
1928-01-31,-0.003339723,-0.005101366
1928-02-29,-0.01447756,-0.01811899
1928-03-31,0.09047843,0.08558162
1928-04-30,0.04384581,0.04208157
1928-05-31,0.01769032,0.01395029
1928-06-30,-0.04524517,-0.05028869
1928-07-31,0.009399799,0.00762611
1928-08-31,0.07020616,0.06618632
1928-09-29,0.03149783,0.0280404
1928-10-31,0.01922795,0.01765021
1928-11-30,0.1214999,0.1163827
1928-12-31,0.005557177,0.001348304
1929-01-31,0.05393473,0.05234604
1929-02-28,-0.0004461388,-0.003385589
1929-03-28,-0.007808392,-0.01179483
1929-04-30,0.01717913,0.01579548
1929-05-31,-0.05992296,-0.06397036
1929-06-29,0.1015726,0.09807518
1929-07-31,0.04595761,0.04414874
1929-08-30,0.08534303,0.08195264
1929-09-30,-0.05045466,-0.05323604
1929-10-31,-0.1966836,-0.1985132
1929-11-27,-0.1238121,-0.1279924
1929-12-31,0.01639001,0.01077326
1930-01-31,0.05840661,0.05580596
1930-02-28,0.02824166,0.02434828
1930-03-31,0.07463142,0.07057096
1930-04-30,-0.0205411,-0.02246035
